"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","149","Login with empty password","Surefire suite","Tue Mar 24 03:12:04 UTC 2026","passed","Tue Mar 24 03:12:05 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","loginFlowWithEmptyPassword"
"","152","Valid login flow","Surefire suite","Tue Mar 24 03:12:12 UTC 2026","passed","Tue Mar 24 03:12:13 UTC 2026","tests.smokeTests.LoginSmokeTest","Surefire test","tests.smokeTests.LoginSmokeTest","validLoginFlow"
"","175","Login flow with locked out user","Surefire suite","Tue Mar 24 03:12:05 UTC 2026","passed","Tue Mar 24 03:12:05 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","loginFlowWithLockedOutUser"
"","337","Restrict browser back after login","Surefire suite","Tue Mar 24 03:12:03 UTC 2026","failed","Tue Mar 24 03:12:04 UTC 2026","tests.integrationTests.LoginIntegrationTests","Surefire test","tests.integrationTests.LoginIntegrationTests","restrictBrowserBackAfterLogin"
"","198","Login with other user types","Surefire suite","Tue Mar 24 03:12:11 UTC 2026","passed","Tue Mar 24 03:12:11 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","loginFlowWithOtherUserTypes"
"","168","Login with wrong password","Surefire suite","Tue Mar 24 03:12:12 UTC 2026","passed","Tue Mar 24 03:12:12 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","loginFlowWithWrongPassword"
"","319","Direct inventory page access","Surefire suite","Tue Mar 24 03:12:03 UTC 2026","passed","Tue Mar 24 03:12:03 UTC 2026","tests.integrationTests.LoginIntegrationTests","Surefire test","tests.integrationTests.LoginIntegrationTests","directInventoryPageAccess"
"","5170","Login with other user types","Surefire suite","Tue Mar 24 03:12:06 UTC 2026","passed","Tue Mar 24 03:12:11 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","loginFlowWithOtherUserTypes"
"","158","Login with other user types","Surefire suite","Tue Mar 24 03:12:11 UTC 2026","passed","Tue Mar 24 03:12:11 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","loginFlowWithOtherUserTypes"
"","160","Login with wrong username","Surefire suite","Tue Mar 24 03:12:12 UTC 2026","passed","Tue Mar 24 03:12:12 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","loginFlowWithWrongUsername"
"","179","Login with other user types","Surefire suite","Tue Mar 24 03:12:05 UTC 2026","passed","Tue Mar 24 03:12:06 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","loginFlowWithOtherUserTypes"
"","47","Login screen properly displayed","Surefire suite","Tue Mar 24 03:12:12 UTC 2026","passed","Tue Mar 24 03:12:12 UTC 2026","tests.smokeTests.LoginSmokeTest","Surefire test","tests.smokeTests.LoginSmokeTest","loginScreenProperlyDisplayed"
"","155","Login with empty username","Surefire suite","Tue Mar 24 03:12:05 UTC 2026","passed","Tue Mar 24 03:12:05 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","loginFlowWithEmptyUsername"
"","142","Login with both empty fields","Surefire suite","Tue Mar 24 03:12:04 UTC 2026","passed","Tue Mar 24 03:12:04 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","loginFlowWithBothEmptyFields"
"","13","Password field masks input","Surefire suite","Tue Mar 24 03:12:12 UTC 2026","passed","Tue Mar 24 03:12:12 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","passwordFieldMasksInput"
"","295","Error message close button functionality","Surefire suite","Tue Mar 24 03:12:04 UTC 2026","passed","Tue Mar 24 03:12:04 UTC 2026","tests.regressionTests.LoginRegressionTests","Surefire test","tests.regressionTests.LoginRegressionTests","errorMessageCloseButtonFunctionality"
